,Approved Amount,Institution,Location Tag,postalcode,canton
241,8600.0,Kompetenzzentrum für Gender Studies (KGS) Koordinationsstelle,,None,None
242,829440.0,Konkordat der Schweizerischen Krankenkassen,,None,None
243,45000.0,Kreisforstamt 18,,None,None
244,472279.0,Kunstmuseum,,None,None
245,5245.0,Kunstmuseum Bern,,None,None
246,322572.0,Kuratorium Carl J. Burckhardt,,None,None
247,146853.0,Kuratorium Musikinstrumente der Schweiz,,None,None
248,530000.0,Kuratorium Schwyzer Orts- und Flurnamenbuch,,None,None
249,676596.0,Kuratorium Urner Namenbuch,,None,None
250,13078375.0,Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel,,None,None
251,79431.0,Kuratorium für das Corpus der römischen Meilensteine,,None,None
252,213768.0,Laboratoire ACEPSA,,None,None
253,101410.0,Laboratoire d'Hygiène industrielle,,None,None
254,1576409.0,Laboratoire de recherche et ateliers de restauration des Musées d'art et d'histoire,,None,None
255,9637.0,Laboratorio di Storia delle Alpi (LabiSAlp) Accademia di architettura Università della Svizzera italiana,,None,None
256,400388.0,Laténium Parc et musée d'archéologie de Neuchâtel,,None,None
257,1232890.0,Lia Rumantscha,,None,None
258,313800.0,Liceo Cantonale,,None,None
259,288800.0,Liceo Cantonale 1,,None,None
260,100000.0,Liceo Cantonale Locarno,,None,None
261,68500.0,Liceo classico-scientifico,,None,None
262,281059.0,Liceo di Lugano 2,,None,None
263,56000.0,Liceo economico-sociale,,None,None
264,281136.0,Literargymnasium Kantonsschule Rämibühl Zürich,,None,None
265,354243.0,Mathematisch-naturwissensch. Gymnasium Kantonsschule Rämibühl Zürich,,None,None
266,189864.0,Mediplant Swiss Research Centre on Medicinal and Aromatic Plants,,None,None
267,80932.0,Meinrad Lienert-Stiftung,,None,None
268,592736.0,MeteoSuisse,,None,None
269,89755.0,Mittelschul- und Berufsbildungsamt Amtsleitung,,None,None
270,165500.0,Monumenti Storici Dipartimento dell'ambiente Ufficio Cantonale,,None,None
271,60000.0,Monuments historiques et archéologie du canton de Vaud,,None,None
272,52295.0,Museo  Cantonale di storia naturale,,None,None
273,284784.0,Museo di Valmaggia,,None,None
274,13000.0,Museum Tinguely,,None,None
275,514474.0,Museum der Kulturen,,None,None
276,241360.0,Museum des Kantons Thurgau,,None,None
277,64036.0,Museum für Kunst und Geschichte,,None,None
278,175919.0,Museum zu Allerheiligen,,None,None
279,1400000.0,Musikwissenschaftliches Institut Universität Zürich,,None,None
280,158223.0,Musée Forel,,None,None
281,17280.0,Musée Historique de Lausanne,,None,None
282,463774.0,Musée International d'Horlogerie,,None,None
283,271172.8,Musée cantonal d'archéologie et d'histoire,,None,None
284,15361.0,Musée d'art et d'histoire de Fribourg,,None,None
285,97825.0,Musée d'ethnographie de Genève,,None,None
286,80000.0,Musée de zoologie Palais de Rumine,,None,None
287,2384542.0,Musées d'art et d'histoire de Genève,,None,None
288,3529655.0,Muséum d'Histoire Naturelle,,None,None
289,605733.0,Muséum d'histoire naturelle,,None,None
290,4000.0,Nano-Cluster Bodensee,,None,None
291,261793.0,Natur-Museum Luzern,,None,None
292,508513.0,Naturforschende Gesellschaft Basel Naturhistorisches Museum,,None,None
293,1377877.0,Naturhistorisches Museum Basel,,None,None
294,317697.0,Naturhistorisches Museum Entomologie,,None,None
295,156189.0,Naturmuseum Winterthur,,None,None
296,101635.0,Numerische Vorhersagen Analyse und Prognose - Zürich MeteoSchweiz,,None,None
297,199850.0,Oberforstamt des Kantons Zürich Abteilung Wald,,None,None
298,33933.0,Obergericht Zürich,,None,None
299,1237757.0,Observatoire Cantonal de Neuchâtel,,None,None
300,239455.0,Office des recherches archéologiques,,None,None
301,300000.0,Office des écoles en santé (ODES) Département de la Formation et de la Jeunesse (DFJ),,None,None
302,303741.0,Office du patrimoine historique Section d'archéologie,,None,None
303,15000.0,Office féderal de la justice,,None,None
304,10000.0,Office fédéral de la statistique,,None,None
305,422445.0,Organizzazione sociopsichiatrica cantonale,,None,None
306,574422.0,Osservatorio Ticinese di SMA,,None,None
307,1267376.0,Otto Spiess Stiftung,,None,None
308,244620.0,Paul Sacher Stiftung Archiv und Forschungszentrum für die Musik des 20. und 21. Jahrhunderts,,None,None
309,202874.0,Pestalozzianum,,None,None
310,270166.0,Primarlehrerseminar Irchel,,None,None
311,74050.0,Pro Helvetia - Schweizer Kulturstiftung,,None,None
